Date,Prob,Position,Strat_Ret
2024-07-15,0.5818496,1,0.004929571655444641
2024-07-16,0.5335078,1,-0.014806827344029673
2024-07-17,0.4693415,-1,0.0015626673332034774
2024-07-18,0.4789627,-1,-0.040910757335444886
2024-07-19,0.49506968,0,0.0
2024-07-20,0.5416126,1,0.015156828740989328
2024-07-21,0.5261308,1,-0.009334516829783621
2024-07-22,0.5094944,0,-0.0
2024-07-23,0.53480256,1,-0.008529507623456261
2024-07-24,0.5585666,1,0.006463859817351855
2024-07-25,0.5765803,1,0.03153462223775808
2024-07-26,0.55195427,1,-0.00016921384598440523
2024-07-27,0.52597535,1,0.005191188977428364
2024-07-28,0.51485896,0,-0.0
2024-07-29,0.52099884,1,-0.008974685027823451
2024-07-30,0.5383026,1,-0.02385142421501373
2024-07-31,0.5552585,1,0.011171199683345215
2024-08-01,0.55836606,1,-0.06080893312569105
2024-08-02,0.5801852,1,-0.013099436128860992
2024-08-03,0.5379616,1,-0.04269555681819708
2024-08-04,0.6242636,1,-0.07388270778154322
2024-08-05,0.6425702,1,0.03641232998749407
2024-08-06,0.5331805,1,-0.015975161468007117
2024-08-07,0.6429299,1,0.11228735091416127
2024-08-08,0.68950605,1,-0.013842409307287744
2024-08-09,0.64560294,1,0.001404713543484379
2024-08-10,0.6277424,1,-0.036964958668207114
2024-08-11,0.66684246,1,0.010741321896940523
2024-08-12,0.67104363,1,0.020687318243458014
2024-08-13,0.6784717,1,-0.031926101818424826
2024-08-14,0.6457238,1,-0.019657942646201854
2024-08-15,0.5351097,1,0.022910978337253942
2024-08-16,0.53301907,1,0.010431923382209742
2024-08-17,0.58903885,1,-0.018057579517003593
2024-08-18,0.597436,1,0.017158062435947308
2024-08-19,0.57994366,1,-0.007170849698593443
2024-08-20,0.595205,1,0.03565715238614722
2024-08-21,0.57243645,1,-0.012839442327577983
2024-08-22,0.5408457,1,0.05887576421662603
2024-08-23,0.5412325,1,0.0018685710918962383
2024-08-24,0.5249624,1,0.0009813284334161388
2024-08-25,0.49496102,0,-0.0
2024-08-26,0.5087297,0,-0.0
2024-08-27,0.49121138,0,-0.0
2024-08-28,0.39627007,-1,-0.005475126375226921
2024-08-29,0.48297584,0,-0.0
2024-08-30,0.5643399,1,-0.00254026496747557
2024-08-31,0.6040597,1,-0.028763415319443375
2024-09-01,0.6011859,1,0.03144134758080365
2024-09-02,0.6037816,1,-0.028202897779850595
2024-09-03,0.6107347,1,0.008369626775024829
2024-09-04,0.56432855,1,-0.03138033882672037
2024-09-05,0.5732584,1,-0.040262751080288636
2024-09-06,0.5485965,1,0.0036604367595428834
2024-09-07,0.52250755,1,0.01300733247035669
2024-09-08,0.62929404,1,0.03882199877924005
2024-09-09,0.6617909,1,0.010359360363052208
2024-09-10,0.6075809,1,-0.005183618786241656
2024-09-11,0.58047354,1,0.013758211280425158
2024-09-12,0.5647562,1,0.039888515176949337
2024-09-13,0.5720086,1,-0.008381917831569096
2024-09-14,0.5633598,1,-0.014456155768720775
2024-09-15,0.512573,0,-0.0
2024-09-16,0.51974905,0,0.0
2024-09-17,0.53618044,1,0.023691660342147144
2024-09-18,0.5319874,1,0.01905308607791393
2024-09-19,0.5079595,0,0.0
