Date,Actual,SMA,Close,Vote_Score,Position,Strat_Ret
2023-11-10,-0.004611757237879132,30331.362600000004,37301.63,3,2.0,-0.009223514475758265
2023-11-11,-0.0017756126342137468,30542.3598,37130.0,3,2.0,-0.0035512252684274936
2023-11-12,-0.016353527492521336,30752.123199999998,37064.13,3,2.0,-0.03270705498504267
2023-11-13,-0.0253224983929354,30956.4142,36462.93,3,2.0,-0.0506449967858708
2023-11-14,0.06287397140001015,31141.341800000002,35551.19,3,2.0,0.1257479428000203
2023-11-15,-0.04579700167213188,31374.0724,37858.2,3,2.0,-0.09159400334426376
2023-11-16,0.012377896572665345,31569.882800000003,36163.51,3,2.0,0.02475579314533069
2023-11-17,-0.001252220312786142,31761.733399999997,36613.92,3,2.0,-0.002504440625572284
2023-11-18,0.021420590373204398,31954.9562,36568.1,3,2.0,0.042841180746408795
2023-11-19,0.0023772666332884944,32162.902199999997,37359.86,3,2.0,0.004754533266576989
2023-11-20,-0.046657457238005864,32352.026399999995,37448.78,3,2.0,-0.09331491447601173
2023-11-21,0.045576998787717926,32516.969200000003,35741.65,3,2.0,0.09115399757543585
2023-11-22,-0.003053710529443689,32716.606799999998,37408.34,1,1.0,-0.003053710529443689
2023-11-23,0.011180012954367782,32906.921,37294.28,3,2.0,0.022360025908735565
2023-11-24,0.0017776195288349984,33112.984599999996,37713.57,3,2.0,0.003555239057669997
2023-11-25,-0.008859513391713852,33309.976200000005,37780.67,1,1.0,-0.008859513391713852
2023-11-26,-0.005482130309367848,33499.791399999995,37447.43,3,2.0,-0.010964260618735696
2023-11-27,0.01535223194675372,33686.3044,37242.7,-1,0.0,0.0
2023-11-28,0.0009453771250752638,33890.8794,37818.87,3,2.0,0.0018907542501505276
2023-11-29,-0.0034581251896556686,34100.1698,37854.64,3,2.0,-0.006916250379311337
2023-11-30,0.025092382063089787,34317.138600000006,37723.96,3,2.0,0.050184764126179573
2023-12-01,0.019655100831166433,34555.5964,38682.52,3,2.0,0.039310201662332865
2023-12-02,0.013142794289187723,34807.3634,39450.35,3,2.0,0.026285588578375447
2023-12-03,0.049271977534901416,35069.759,39972.26,3,2.0,0.09854395506980283
2023-12-04,0.04839691964470645,35366.498,41991.1,3,2.0,0.0967938392894129
2023-12-05,-0.007072982823143485,35677.9488,44073.32,3,2.0,-0.01414596564628697
2023-12-06,-0.011249508685349425,35985.2844,43762.69,3,2.0,-0.02249901737069885
2023-12-07,0.020536119557329653,36284.3472,43273.14,3,2.0,0.041072239114659306
2023-12-08,-0.010408972260493799,36593.4928,44170.99,3,2.0,-0.020817944520987598
2023-12-09,0.0017350244818206502,36874.384,43713.6,3,2.0,0.0034700489636413003
2023-12-10,-0.05966075735492428,37151.978200000005,43789.51,3,2.0,-0.11932151470984856
2023-12-11,0.005776503301278852,37377.197,41253.4,3,2.0,0.011553006602557704
2023-12-12,0.032639616880829996,37545.645,41492.39,3,2.0,0.06527923376165999
2023-12-13,0.0035680023564587876,37724.570999999996,42869.03,3,2.0,0.007136004712917575
2023-12-14,-0.025470477640977214,37895.095199999996,43022.26,3,2.0,-0.05094095528195443
2023-12-15,0.008020387258140575,38050.867999999995,41940.3,3,2.0,0.01604077451628115
2023-12-16,-0.021599191335207872,38218.5882,42278.03,3,2.0,-0.043198382670415744
2023-12-17,0.030541766708551847,38364.4612,41374.65,3,2.0,0.061083533417103694
2023-12-18,-0.008990828549252048,38527.0994,42657.8,1,1.0,-0.008990828549252048
2023-12-19,0.03241755264462973,38683.1246,42275.99,3,2.0,0.06483510528925945
2023-12-20,0.004406916568444891,38863.707800000004,43668.93,1,1.0,0.004406916568444891
2023-12-21,0.0024419680670525194,39032.515199999994,43861.8,3,2.0,0.004883936134105039
2023-12-22,-0.006088221088727501,39213.0642,43969.04,1,1.0,-0.006088221088727501
2023-12-23,-0.016395107062850675,39392.7718,43702.16,1,1.0,-0.016395107062850675
2023-12-24,0.013507101635684676,39551.3604,42991.5,3,2.0,0.02701420327136935
2023-12-25,-0.02479535186467053,39722.6454,43576.13,3,2.0,-0.04959070372934106
2023-12-26,0.02140979529821103,39871.9022,42508.93,3,2.0,0.04281959059642206
2023-12-27,-0.02012077980823538,40032.4968,43428.85,3,2.0,-0.04024155961647076
2023-12-28,-0.011740790238734814,40171.2776,42563.76,3,2.0,-0.023481580477469628
2023-12-29,0.0017416561151908701,40278.5948,42066.95,3,2.0,0.0034833122303817403
2023-12-30,0.0033947781497301243,40375.3678,42140.28,3,2.0,0.006789556299460249
2023-12-31,0.04386318131378095,40478.4394,42283.58,3,2.0,0.0877263626275619
2024-01-01,0.01722000317113513,40620.747800000005,44179.55,3,2.0,0.03444000634227026
2024-01-02,-0.04788769521256018,40790.4274,44946.91,3,2.0,-0.09577539042512036
2024-01-03,0.03002352150755492,40936.3082,42845.23,1,1.0,0.03002352150755492
2024-01-04,-0.0001356796630157846,41062.1662,44151.1,-1,0.0,-0.0
2024-01-05,-0.004012787545087865,41221.7982,44145.11,1,1.0,-0.004012787545087865
2024-01-06,-0.000894225072540774,41368.8862,43968.32,-1,0.0,-0.0
2024-01-07,0.06653020711240704,41516.1046,43929.02,1,1.0,0.06653020711240704
