Date,Actual_Ret,Prob,ATR_Pct,Position,Strat_Ret
2024-01-12,0.0015242196406752171,0.5243285,0.05427747300092116,0.14597082138061523,0.00022249159291382766
2024-01-13,-0.02638212870563945,0.5227511,0.05169217329555865,0.1365065574645996,-0.0036013335681948345
2024-01-14,0.01848861088034885,0.52240795,0.051609113823487617,0.13444769382476807,0.0024857510948864178
2024-01-15,0.014637901828299413,0.5216712,0.049871655061066576,0.13002705574035645,0.0019033232769501533
2024-01-16,-0.008423584725432613,0.521364,0.04816656447689431,0.12818384170532227,-0.0010797674510362246
2024-01-17,-0.03445139745815894,0.5213626,0.04676977339313401,0.12817561626434326,-0.004415829100367351
2024-01-18,0.007990013891329613,0.5213729,0.048834467791848246,0.12823748588562012,0.00102461929361529
2024-01-19,0.0008880084302503328,0.52043176,0.04827206572651307,0.12259054183959961,0.00010886143462252059
2024-01-20,-0.002778941360300473,0.5198723,0.045497360430076,0.11923384666442871,-0.00033134386804350557
2024-01-21,-0.049606002668420156,0.5195115,0.04301860121468365,0.11706912517547607,-0.005807331335844279
2024-01-22,0.008294955472882228,0.51910126,0.04605365872017769,0.11460757255554199,0.0009506647112033401
2024-01-23,0.004683034141144241,0.51798284,0.045314249408971156,0.10789704322814941,0.0005052855371659397
2024-01-24,-0.003092975166303934,0.51726073,0.04378903923704574,0.10356438159942627,-0.00032032206040064954
2024-01-25,0.04555239092628425,0.51713157,0.04212822841404603,0.10278940200805664,0.004682303023349983
2024-01-26,0.00707902280697713,0.516949,0.041517436781242444,0.10169398784637451,0.0007198940592969402
2024-01-27,-0.002128775638974226,0.51745135,0.03964620547008268,0.10470807552337646,-0.00022290000037803723
2024-01-28,0.029806119942710457,0.51820254,0.0389692611838233,0.10921525955200195,0.0032552831257812243
2024-01-29,-0.008385579459892248,0.5187268,0.03764376225739855,0.11236095428466797,-0.0009422117103434037
2024-01-30,-0.008444749797383772,0.51957214,0.03724265009969616,0.11743283271789551,-0.0009916908903006504
2024-01-31,0.011742435619609937,0.51998013,0.0373387819709938,0.1198807954788208,0.0014076925229376794
2024-02-01,0.0027134001651212595,0.52014107,0.036589490232136146,0.12084639072418213,0.000327904616545304
2024-02-02,-0.004382505832045197,0.52075833,0.03544012328029464,0.1245499849319458,-0.0005458410353453939
2024-02-03,-0.010005694851545816,0.5213183,0.03388359213903317,0.12790989875793457,-0.0012798274154640125
2024-02-04,0.002950351987088814,0.5219223,0.033284424235410746,0.13153374195098877,0.000388070836934327
2024-02-05,0.009095988310426472,0.5222281,0.033009611558087765,0.13336873054504395,0.0012131204140141377
