Date,BTC_LogRet,BTC_RSI,BTC_ATR,BTC_Volume_Log,SP500_LogRet,NASDAQ_LogRet,ETH_LogRet,DXY_LogRet,VIX_LogRet,MSTR_LogRet,TARGET
2020-04-20,-0.04370789261905666,41.14666215400093,268.6033412388393,24.354174857718842,-0.018042845615347775,-0.012062436090166967,-0.05266815101230765,0.0018023466088692777,0.13879275847971348,0.0030775728183988315,-0.00023764284804566149
2020-04-21,-0.00023764284804566149,42.9763838224771,254.95221819196428,24.207263398251694,-0.031155115236330667,-0.03777670721299647,0.0025535780954052834,0.0029967363344493643,0.035413785542628626,-0.03373315684447805,0.033849812461733006
2020-04-22,0.033849812461733006,45.041416324200476,260.3212193080357,24.227295156115456,0.02267130058213675,0.030661550332777173,0.0555213946388015,0.001295761481367019,-0.07853903826147382,0.018569925920962564,0.04297334717626114
2020-04-23,0.04297334717626114,52.58629099649728,278.02382114955356,24.496044759178183,-0.0005395676601955963,-0.0026741564204478016,0.013215131087699328,0.00039837582030818376,-0.014395605358408076,0.00772936383146274,0.016178084496425684
2020-04-24,0.016178084496425684,65.9240513566439,252.53316824776786,24.268174635213846,0.013822090566839217,0.016651610368687557,0.022489079759753852,-0.000498013578997181,-0.14122508851070348,-0.003419020369274145,0.0025177397803475064
2020-04-25,0.0025177397803475064,66.41890274862087,251.35763113839286,24.21800035622944,0.0,0.0,0.03263878794465803,0.0,0.0,0.0,0.014417636083330129
2020-04-26,0.014417636083330129,66.38664189732887,239.23744419642858,24.22189703559536,0.0,0.0,0.009175625335023418,0.0,0.0,0.0,0.01495735604802822
2020-04-27,0.01495735604802822,72.08207539208293,225.90530831473214,24.311278682824327,0.014606868181735996,0.005794364179334653,-0.0004705159724022457,-0.003392841703910894,-0.07631553053054217,0.028889678602821187,0.0014686626299017075
2020-04-28,0.0014686626299017075,72.31712860666102,220.11851283482142,24.22545299414256,-0.005256170190483643,-0.01827720567788952,0.006018992534536476,-0.0017007474044158,0.008375722812708732,-0.0029448336517190745,0.11984140644428902
2020-04-29,0.11984140644428902,86.53192950218416,276.57871791294644,24.8209556675802,0.02623670404507307,0.034562210937609576,0.08938818034765963,-0.0030084564215593027,-0.07225364526404565,-0.010689453941593973,-0.01632197818592355
2020-04-30,-0.01632197818592355,79.39307067046299,300.039306640625,24.927430399656405,-0.009255143319054839,0.001974057691047341,-0.04412791306299448,-0.005539095303350765,0.08938347406129576,-0.009061940485903601,0.02353691044657035
2020-05-01,0.02353691044657035,81.48921697908494,319.51206752232144,24.50900858229884,-0.028460211014775954,-0.031870751661410957,0.03137629771866402,-0.0022241803896464697,0.08527724031216191,-0.030052120641467745,0.013872127279034094
2020-05-02,0.013872127279034094,81.23766776944447,320.5914829799107,24.41549937692024,0.0,0.0,0.005150944616688777,0.0,0.0,0.0,-0.010189912204170495
2020-05-03,-0.010189912204170495,80.57206482049561,336.5445033482143,24.575576739055197,0.0,0.0,-0.020609007565807625,0.0,0.0,0.0,0.0017052718293899742
2020-05-04,0.0017052718293899742,90.59457809063221,329.9083775111607,24.54577534737682,0.0042408225788494016,0.013209940087473705,-0.013166942127806835,0.006859017037953738,-0.033354579366393695,-0.03351066589498106,0.010093566989645255
2020-05-05,0.010093566989645255,90.98012126851954,337.4425571986607,24.4879126261239,0.008999935197779802,0.010865429708437948,-0.006745984323549397,0.0023093109787881917,-0.06786163174739818,0.018884316788976438,0.029084126239824877
2020-05-06,0.029084126239824877,91.07934187030685,349.34810965401783,24.622647008701513,-0.007003880399042588,0.0060551432259870735,-0.013234920187720416,0.003803780983961886,0.015060031421976575,0.00980193841241416,0.07107536685466279
2020-05-07,0.07107536685466279,92.18431400095729,381.07320731026783,24.835985546711203,0.011438955754890805,0.012939994999143929,0.03955708358865082,-0.0020001702089409,-0.08180270677123987,0.012058135934278073,-0.010998547172291293
2020-05-08,-0.010998547172291293,88.49513087590758,387.15171595982144,24.670284257727833,0.016730795065226244,0.012931982720089951,0.0033021195390356968,-0.0016030063598269273,-0.11659103167062464,0.009591081935321499,-0.025599497514193534
2020-05-09,-0.025599497514193534,81.56097208870057,402.40366908482144,24.564139114587306,0.0,0.0,-0.006554315303106354,0.0,0.0,0.0,-0.09133874992634657
2020-05-10,-0.09133874992634657,63.68293549340814,478.2098911830357,24.87155044400484,0.0,0.0,-0.1150722494227923,0.0,0.0,0.0,-0.017817356616017375
