number,value,params_dropout,params_l2_factor,params_lr,params_recurrent_dropout,params_units_1,params_units_2,user_attrs_actual_epochs,user_attrs_auc_overfit_gap,user_attrs_best_val_loss,user_attrs_train_a_accuracy,user_attrs_train_a_auc,user_attrs_train_a_gini,user_attrs_train_a_sensitivity,user_attrs_train_a_specificity,user_attrs_train_b_cond_wr,user_attrs_train_b_coverage,user_attrs_train_b_n_traded,user_attrs_units_2_effective,user_attrs_val_a_accuracy,user_attrs_val_a_auc,user_attrs_val_a_gini,user_attrs_val_a_sensitivity,user_attrs_val_a_specificity,user_attrs_val_b_cond_wr,user_attrs_val_b_coverage,user_attrs_val_b_n_traded,state
62,0.5210915633746501,0.1,0.001,0.002,0.30000000000000004,512,64,14,0.0342,0.69279,0.5374,0.5553,0.1106,0.9832,0.0162,0.6429,0.1379,350,64,0.5274,0.5211,0.0422,0.9781,0.0244,0.5349,0.1239,43,COMPLETE
63,0.522391043582567,0.1,0.001,0.002,0.30000000000000004,512,64,18,0.0166,0.69246,0.5426,0.539,0.078,0.9605,0.0538,0.5764,0.3739,949,64,0.5303,0.5224,0.0448,0.9399,0.0732,0.5379,0.3804,132,COMPLETE
64,0.5248567239770758,0.1,0.001,0.002,0.2,512,64,10,0.0225,0.69236,0.5406,0.5474,0.0948,0.9583,0.0521,0.6947,0.0374,95,64,0.5331,0.5249,0.0497,0.9071,0.1159,0.7778,0.0259,9,COMPLETE
65,0.5619752099160336,0.1,1e-05,0.002,0.30000000000000004,512,64,13,0.0147,0.68767,0.5469,0.5766,0.1533,0.9123,0.1197,0.5901,0.5335,1354,64,0.5101,0.562,0.124,0.8579,0.122,0.5683,0.5274,183,COMPLETE
66,0.5223910435825669,0.4,1e-05,0.002,0.4,512,64,10,0.0296,0.69429,0.5473,0.552,0.104,0.7668,0.2906,0.6519,0.0623,158,64,0.536,0.5224,0.0448,0.7486,0.2988,0.5294,0.049,17,COMPLETE
67,0.5209582833533254,0.1,1e-05,0.0005,0.30000000000000004,512,64,15,0.0706,0.69272,0.5623,0.5915,0.183,0.7383,0.3564,0.6557,0.2872,729,64,0.5101,0.521,0.0419,0.6721,0.3293,0.5538,0.1873,65,COMPLETE
68,0.5254564840730374,0.1,1e-05,0.002,0.4,256,64,7,0.0306,0.69252,0.55,0.5561,0.1122,0.8582,0.1897,0.6071,0.1564,397,64,0.5418,0.5255,0.0509,0.847,0.2012,0.6136,0.1268,44,COMPLETE
69,0.5455151272824204,0.30000000000000004,1e-05,0.002,0.30000000000000004,512,128,13,0.0144,0.6932,0.5504,0.5599,0.1198,0.7946,0.265,0.5887,0.4732,1201,128,0.5591,0.5455,0.091,0.6612,0.4451,0.5346,0.4582,159,COMPLETE
70,0.5270891643342663,0.1,1e-05,0.002,0.2,512,64,13,0.0783,0.69159,0.5831,0.6053,0.2107,0.8341,0.2897,0.6626,0.292,741,64,0.5476,0.5271,0.0542,0.7596,0.311,0.5432,0.2334,81,COMPLETE
71,0.5367519658803146,0.1,0.001,0.002,0.30000000000000004,512,64,9,0.0045,0.69366,0.5433,0.5413,0.0825,0.9883,0.0231,0.6025,0.0634,161,64,0.5274,0.5368,0.0735,0.9727,0.0305,0.5217,0.0663,23,COMPLETE
72,0.5334199653471945,0.1,0.001,0.002,0.30000000000000004,512,64,17,0.0235,0.69211,0.5394,0.5569,0.1139,0.9978,0.0034,0.5952,0.2979,756,64,0.5274,0.5334,0.0668,1.0,0.0,0.5595,0.2421,84,COMPLETE
73,0.5344195655071304,0.1,0.001,0.002,0.30000000000000004,512,64,11,0.0009,0.6923,0.5374,0.5353,0.0706,0.9254,0.0838,0.6094,0.0918,233,64,0.5043,0.5344,0.0688,0.8689,0.0976,0.6667,0.0605,21,COMPLETE
74,0.5068306010928962,0.1,0.001,0.002,0.1,512,64,12,0.0293,0.69235,0.5394,0.5362,0.0723,0.9993,0.0017,0.55,0.0079,20,64,0.5274,0.5068,0.0137,1.0,0.0,-1.0,0.0,0,COMPLETE
75,0.5488471278155403,0.2,0.001,0.002,0.30000000000000004,512,256,21,-0.0074,0.69195,0.5398,0.5415,0.083,1.0,0.0017,0.6118,0.0335,85,256,0.5274,0.5488,0.0977,1.0,0.0,0.6364,0.0317,11,COMPLETE
76,0.5588431294149008,0.1,1e-05,0.002,0.4,512,64,16,0.0341,0.68936,0.5697,0.593,0.1859,0.8648,0.2248,0.658,0.2281,579,64,0.5418,0.5588,0.1177,0.7814,0.2744,0.6393,0.1758,61,COMPLETE
77,0.5249566839930695,0.2,1e-05,0.001,0.4,512,256,12,0.0336,0.69382,0.5445,0.5586,0.1171,0.845,0.1932,0.6362,0.1895,481,256,0.5389,0.525,0.0499,0.8743,0.1646,0.5192,0.1499,52,COMPLETE
78,0.5277888844462215,0.2,1e-05,0.002,0.4,128,256,11,0.0543,0.6919,0.5607,0.5821,0.1642,0.72,0.3744,0.6136,0.3834,973,64,0.5159,0.5278,0.0556,0.612,0.4085,0.5833,0.2767,96,COMPLETE
79,0.5065307210449154,0.1,1e-05,0.0005,0.4,512,128,13,0.0618,0.69555,0.5532,0.5683,0.1366,0.8925,0.1564,0.5936,0.3684,935,128,0.5418,0.5065,0.0131,0.8142,0.2378,0.5444,0.2594,90,COMPLETE
80,0.5667066506730641,0.2,1e-05,0.002,0.4,512,64,6,-0.0095,0.69202,0.5516,0.5572,0.1144,0.7493,0.3205,0.6486,0.0583,148,64,0.5562,0.5667,0.1334,0.776,0.311,0.4444,0.0259,9,COMPLETE
81,0.518925763028122,0.2,1e-05,0.002,0.4,512,64,14,0.0453,0.69358,0.5457,0.5642,0.1284,0.9335,0.0923,0.6044,0.3377,857,64,0.5331,0.5189,0.0379,0.9235,0.0976,0.5614,0.3285,114,COMPLETE
82,0.5332200453152073,0.2,1e-05,0.002,0.4,512,64,6,0.0044,0.69377,0.5449,0.5376,0.0752,0.8801,0.153,0.5856,0.2025,514,64,0.5245,0.5332,0.0664,0.8852,0.122,0.6327,0.1412,49,COMPLETE
83,0.5418166066906571,0.2,1e-05,0.002,0.4,512,64,18,0.0704,0.69173,0.5776,0.6123,0.2245,0.807,0.3094,0.6376,0.448,1137,64,0.5533,0.5418,0.0836,0.7158,0.372,0.5493,0.4092,142,COMPLETE
84,0.5148940423830468,0.2,1e-05,0.002,0.4,512,64,8,0.04,0.69441,0.5441,0.5549,0.1097,0.894,0.135,0.6236,0.0701,178,64,0.5216,0.5149,0.0298,0.8142,0.1951,0.6087,0.0663,23,COMPLETE
85,0.5448154071704652,0.2,1e-05,0.002,0.4,512,256,16,0.0435,0.69253,0.5579,0.5883,0.1766,0.883,0.1778,0.6436,0.3306,839,256,0.5187,0.5448,0.0896,0.7869,0.2195,0.5833,0.2767,96,COMPLETE
86,0.5329868052778889,0.2,1e-05,0.002,0.4,256,256,15,0.0697,0.6915,0.5725,0.6027,0.2054,0.8099,0.2949,0.6338,0.4401,1117,256,0.5245,0.533,0.066,0.7322,0.2927,0.5714,0.3631,126,COMPLETE
87,0.5414167666266827,0.2,0.0001,0.002,0.4,512,64,18,0.0372,0.69456,0.5658,0.5787,0.1573,0.78,0.3154,0.6129,0.4153,1054,64,0.536,0.5414,0.0828,0.7377,0.311,0.5695,0.4352,151,COMPLETE
88,0.5403838464614155,0.4,1e-05,0.002,0.4,512,256,7,-0.0017,0.69543,0.5414,0.5387,0.0773,0.894,0.1291,0.5733,0.4275,1085,256,0.5159,0.5404,0.0808,0.929,0.0549,0.5547,0.3948,137,COMPLETE
89,0.5162934826069572,0.30000000000000004,0.001,0.002,0.4,512,256,15,0.0439,0.69414,0.5402,0.5601,0.1203,0.9247,0.0906,0.6448,0.1143,290,256,0.513,0.5163,0.0326,0.8689,0.1159,0.6341,0.1182,41,COMPLETE
90,0.5195255231240837,0.1,0.001,0.002,0.4,512,64,25,0.0413,0.6926,0.541,0.5608,0.1216,0.9832,0.0239,0.6236,0.1706,433,64,0.536,0.5195,0.0391,0.9727,0.0488,0.5472,0.1527,53,COMPLETE
91,0.5539784086365455,0.1,0.001,0.002,0.30000000000000004,512,64,20,0.0049,0.69111,0.5461,0.5589,0.1178,0.9561,0.0667,0.596,0.3325,844,64,0.5187,0.554,0.108,0.8962,0.0976,0.5766,0.3199,111,COMPLETE
92,0.5485805677728908,0.1,0.001,0.002,0.30000000000000004,512,64,14,-0.0107,0.69183,0.5414,0.5378,0.0757,0.9057,0.1154,0.6269,0.1056,268,64,0.5159,0.5486,0.0972,0.8689,0.122,0.6757,0.1066,37,COMPLETE
93,0.522557643609223,0.1,0.001,0.002,0.30000000000000004,512,64,22,0.0398,0.69294,0.5473,0.5624,0.1247,0.8867,0.1504,0.624,0.2065,524,64,0.4957,0.5226,0.0451,0.7869,0.1707,0.5238,0.1816,63,COMPLETE
94,0.5058643209382914,0.1,0.001,0.002,0.4,512,64,18,0.0389,0.69326,0.5414,0.5447,0.0895,0.9949,0.0111,0.6176,0.1391,353,64,0.5274,0.5059,0.0117,0.9891,0.0122,0.475,0.1153,40,COMPLETE
95,0.5020658403305345,0.2,0.001,0.001,0.4,512,64,26,0.0491,0.69408,0.5449,0.5511,0.1023,0.9371,0.0863,0.6074,0.1706,433,64,0.5389,0.5021,0.0041,0.929,0.1037,0.5,0.1326,46,COMPLETE
96,0.5144942023190724,0.2,0.0001,0.002,0.30000000000000004,128,256,17,0.0926,0.69514,0.5812,0.6071,0.2142,0.7931,0.3333,0.6334,0.4385,1113,64,0.5014,0.5145,0.029,0.6503,0.3354,0.5714,0.2824,98,COMPLETE
97,0.5328368652538984,0.1,0.001,0.002,0.4,512,256,22,0.0132,0.69257,0.5406,0.546,0.0921,0.9971,0.0068,0.6222,0.0355,90,256,0.5216,0.5328,0.0657,0.9891,0.0,0.6364,0.0317,11,COMPLETE
98,0.4996001599360256,0.1,0.001,0.0005,0.30000000000000004,512,64,32,0.0567,0.6951,0.5556,0.5563,0.1126,0.9057,0.1462,0.6228,0.1765,448,64,0.5245,0.4996,-0.0008,0.8361,0.1768,0.4878,0.1182,41,COMPLETE
99,0.5161268825803011,0.2,1e-05,0.002,0.4,512,128,19,0.0784,0.69332,0.5626,0.5945,0.189,0.9028,0.165,0.6353,0.3554,902,128,0.5533,0.5161,0.0323,0.8634,0.2073,0.5,0.3401,118,COMPLETE
100,0.5486472077835532,0.1,0.001,0.002,0.4,256,256,21,0.0134,0.69121,0.5536,0.562,0.1241,0.8494,0.2077,0.5968,0.2971,754,256,0.5303,0.5486,0.0973,0.7705,0.2622,0.6,0.2738,95,COMPLETE
101,0.5151606024256963,0.1,0.001,0.002,0.30000000000000004,512,64,16,0.0314,0.69284,0.541,0.5466,0.0931,0.9956,0.0094,0.6146,0.0757,192,64,0.5331,0.5152,0.0303,1.0,0.0122,0.5238,0.0605,21,COMPLETE
102,0.5084466213514595,0.1,0.001,0.002,0.30000000000000004,512,64,12,0.014,0.69285,0.5374,0.5224,0.0448,0.9737,0.0274,0.6111,0.0638,162,64,0.5418,0.5084,0.0169,0.9836,0.0488,0.7692,0.0375,13,COMPLETE
103,0.5393842463014794,0.1,0.001,0.002,0.30000000000000004,512,64,15,-0.0108,0.69242,0.5465,0.5286,0.0571,0.9452,0.0803,0.5876,0.1462,371,64,0.5187,0.5394,0.0788,0.9235,0.0671,0.6364,0.1585,55,COMPLETE
104,0.5309876049580168,0.1,0.001,0.002,0.30000000000000004,512,64,22,0.0355,0.69211,0.5461,0.5665,0.133,0.9539,0.0692,0.6454,0.21,533,64,0.5245,0.531,0.062,0.8798,0.128,0.619,0.1816,63,COMPLETE
